_SAPPCTXT_HEADER_               002 8000 CHART NO 1100 OK 
22129                           020 "Trendlinje"
22130                           025 "Trendlinjeetikett"
22131                           022 "3D-perspektiv..."
22132                           049 "Rotasjonen må være mellom 0 og 360 grader"
22133                           048 "Høyden må ligge mellom -90 og 90"
22134                           052 "Perspektivet må være mellom 0 og 100"
22135                           024 "Serieakse (Z):"
22136                           026 "Verdiakse (Y)"
22138                           022 "Formater bunn"
22139                           026 "Formater bunn..."
22140                           022 "Formater sider"
22141                           026 "Formater sider"
22142                           015 "Kopier"
22143                           021 "Mellomrom:"
22144                           025 "Datakilde..."
22145                           025 "Formater positive områder"
22146                           030 "Lagre som &mal..."
22147                           060 "Diagramfiler (*.icc)|*.icc|Alle filer (*.*) | *.* ||"
22148                           026 "Lagre som mal"
22149                           089 "Totalstørrelsen på tidsaksen er for stor, den blir automatisk justert"
22151                           027 "Last mal..."
22152                           043 "Verdiakse (X) skjærer ved maksimumsverdi"
22153                           023 "Last mal"
22154                           036 "Verdiakse (X) skjærer ved:"
22155                           043 "Verdiakse (Y) skjærer ved maksimumsverdi"
22156                           032 "Verdiakse (Y) skjærer ved:"
22157                           116 "Antall perioder ved glidende gjennomsnitt må være minst 2 og mindre enn antall datapunkt"
22158                           080 "Verdiene for trenden fremover og bakover må være større enn null"
22159                           021 "Nettverksakseetikett"
22160                           032 "Formater nettverksakseetikett..."
22161                           028 "Formater nettv.akseetikett"
22162                           048 "Høyden må være mellom -45 og 45"
22163                           047 "Høyden må være mellom 10 og 90"
22164                           018 "3D-perspektiv"
22165                           051 "Bredden på en dag må være større enn 0"
22166                           027 "Formater datatabell"
22167                           031 "Formater datatabell..."
22168                           020 "Datatabell"
22169                           028 "Kategoriakse (Y)"
22170                           025 "Verdiakse (X)"
22173                           117 "Kategorien som det skal startes fra, kan ikke være lavere enn 1.\nVerdien justeres i henhold til dette."
22174                           113 "Antall synlige kategorier kan ikke være lavere enn 1.\nVerdien justeres i henhold til dette."
22175                           039 "Tilføy normalfordeling..."
22176                           042 "Formater normalfordeling..."
22177                           019 "Skriv ut..."
22178                           024 "Forhåndsvisning"
22179                           066 "Startverdien kan ikke være lik stoppverdien"
22180                           077 "- Klikk 'Ja' for å konvertere alle dataserier valgt diagramtype"
