_SAPPCTXT_HEADER_               002 8000 CHART ET 1904 OK 
22176                           042 "Vorminda normaaljatus..."
22177                           019 "&Prindi..."
22178                           024 "Prindi eelvaade"
22179                           066 "Algusväärtus peab erinema lõppväärtusest."
22180                           077 "- Kõigi andmesarjade muutmiseks valitud diagr.tüübiks klõpsake nuppu Jah."
22181                           054 "- Diagrammitüübi säilitamiseks klõpsake nuppu Ei."
22191                           029 "&Histogrammiklassid"
22192                           032 "Normaaljaotus:"
22193                           038 "Normaaljaotuse silt:"
22194                           038 "Vorminda normaaljaotus"
22195                           044 "Vorminda normaaljaotuse silt"
22196                           048 "Vorminda normaaljaotuse silt..."
22197                           037 "Vorminda tegelik ajajoon..."
22198                           033 "Vorminda tegelik ajajoon"
22199                           029 "Lisa väärtusevahemik..."
22200                           031 "Vorminda negatiivsed alad..."
22201                           027 "Vorminda negatiivsed alad"
22202                           018 "Positiivsed alad"
22203                           020 "Negatiivsed alad"
22204                           015 "Alates:"
22205                           013 "Kuni:"
22206                           022 "Pildi laad:"
22207                           032 "Vorminda signaalala..."
22208                           028 "Vorminda signaalala"
22209                           034 "Vorminda viida silt..."
22210                           014 "Rida"
22211                           026 "Vorminda tabel..."
22212                           022 "Vorminda tabel"
22213                           020 "Tiitli font"
22214                           023 "Lisa tabel..."
22215                           024 "Lisa nupp..."
22216                           027 "Vorminda veerg..."
22217                           023 "Vorminda veerg"
22218                           031 "Veerg on liiga väike!"
22219                           025 "Vorminda lahter..."
22220                           021 "Vorminda lahter"
22221                           035 "Vorminda viidasildid..."
22222                           030 "Vorminda viida silt"
22223                           031 "Vorminda viidasildid"
22224                           023 "Vorminda nupp"
22225                           027 "Vorminda nupp..."
22226                           036 "Kuva mulli äärise väärtused"
22228                           127 "Suure intervalli tõttu ei saa ajatulpa luua. Nupu 'Loobu' klõpsamisel vähendatakse maksimumkuupäeva."
22229                           016 "Tasemed"
22230                           014 "Veel"
22231                           031 "Normaaljaotus"
22232                           019 "Alatiitel"
22233                           012 "Aktiivne"
22235                           020 "Tiitli font"
22236                           019 "Lahtri font"
22237                           019 "Virnsektordiagramm"
22238                           036 "Vorminda telje tiitelüksus..."
22239                           051 "Sobimatu arvuvorming!"
22240                           092 "Lubatud on ainult 10 väärtusevahemikku!\nÜlemäärased väärtusevahemikud eemaldatakse."
22241                           025 "Andmeallikas..."
22242                           035 "Lisa standardjaotus"
22400                           107 "Praegused ajatelje sätted põhjustavad liiga palju ühikuid. See võib aeglustada väljajoonistumisi."
22401                           054 " Kas olete kindel, et kõik sätted on õiged?"
22410                           101 "Nähtavate kategooriate arv ei tohi ületada olemasolevate kategooriate arvu."
22411                           056 " Väärtust korrigeeritakse vastavalt."
22420                           132 "Nähtavate kategooriate ja alustuskategooria väärtuste summa ületab kategooriate arvu."
22421                           056 " Väärtust korrigeeritakse vastavalt."
22430                           132 "Diagrammitüüpi ei saa muuta börsidiagrammiks. Börsidiagramm vajab ühe andmepunkti joonistamiseks kolme, nelja või viite andmesarja."
22431                           046 " Proovige ühte järgmistest lahendustest:"
22432                           070 "- Börsidiagr. määramiseks kõigile andmesarjadele klõpsake nuppu 'OK'"
22433                           092 " Börsidiagramm luuakse vaid juhul, kui tabelis on piisavalt andmesarju."
22434                           050 "- Teate sulgemiseks klõpsake nuppu 'OK'."
22435                           132 " Seejärel valige diagrammitüüp, mille abil saab kuvada üksikuid andmesarju (nt joondiagramm)."
22460                           065 "Tasapinnalisi ja ruumilisi diagramme ei saa kombineerida."
22461                           132 " Kas muuta tasapinnalise diagrammi andmesarjad selliseks, et saaks kombineerida diagrammid ruumiliseks diagrammiks?"
22462                           094 "- Andmesarjade muutmiseks ruumilisel diagrammil kuvatavaks klõpsake nuppu 'Jah'."
22464                           064 "- Diagrammide kombineerimise tühistamiseks klõpsake nuppu 'Ei'."
22470                           065 "Ruumilisi ja tasapinnalisi diagramme ei saa kombineerida."
22471                           132 " Kas muuta ruumilise diagrammi andmesarjad selliseks, et saaks kombineerida diagrammid tasapinnaliseks diagrammiks?"
22472                           091 "- Andmesarjade muutmiseks tasapinnalisel diagrammil kuvatavaks klõpsake nuppu 'Jah'."
22474                           064 "- Diagrammide kombineerimise tühistamiseks klõpsake nuppu 'Ei'."
22480                           060 " Diagrammi ei saa kombineerida muude diagrammitüüpidega."
22481                           090 " Kas muuta kõik selle diagrammi andmesarjad valitud diagrammitüübile vastavaks?"
22490                           132 "Selle börsidiagrammi loomiseks muutke andmete järjestus selliseks: avamishind, kõrgeim hind, madalaim hind ja sulgemishind."
22491                           050 " Kasutage siltidena kuupäevi või aktsiate nimesid."
22500                           132 "Selle börsidiagrammi loomiseks muutke andmete järjestus selliseks: käive, kõrgeim hind, madalaim hind ja sulgemishind."
22501                           050 " Kasutage siltidena kuupäevi või aktsiate nimesid."
22510                           132 "Selle börsidiagrammi loomiseks muutke andmete järjestus selliseks: käive, avamishind, kõrgeim hind, madalaim hind ja sulgemishind."
22511                           050 " Kasutage siltidena kuupäevi või aktsiate nimesid."
22550                           015 "Valge"
22551                           015 "Must"
22552                           013 "Punane"
22553                           016 "Kollane"
22554                           015 "Roheline"
22555                           014 "Tsüaan"
22556                           014 "Sinine"
22557                           017 "Magenta"
22600                           013 "Kõik"
22601                           016 "Kohandatud"
22602                           016 "Arv"
22603                           021 "Raamatupidamine"
22604                           014 "Kuupäev"
22605                           014 "Kellaaeg"
22606                           017 "Protsent"
22607                           018 "Murd"
22608                           017 "Teaduslik"
22609                           014 "Tekst"
22610                           018 "Valuuta"
23000                           013 "Üleval"
23001                           016 "Keskel"
23002                           016 "All"
23003                           016 "Jaga"
23010                           014 "Vasakul"
23011                           016 "Keskel"
23012                           015 "Paremal"
23013                           016 "Jaga"
23020                           015 "Üleval"
23021                           015 "All"
23022                           020 "Optimaalne laius"
23023                           016 "Keskel"
23024                           021 "Sisemine põhi"
23025                           020 "Sisemine lõpp"
23026                           014 "Vasakul"
23027                           015 "Segatud"
23028                           021 "Välimine lõpp"
23029                           015 "Paremal"
23030                           031 "Vorminda telje silt..."
23031                           032 "Vorminda diagrammi tiitel..."
23032                           027 "Vorminda telje silt"
23033                           028 "Vorminda diagrammi tiitel"
23034                           016 "Lineaarne"
23035                           021 "Logaritmiline"
23036                           019 "Potentsiaalne"
23037                           021 "Eksponentsiaalne"
23038                           024 "Libisev keskmine"
23039                           019 "Redigeeri teksti"
23040                           019 "Automaatne"
23041                           017 "Miimimum"
23042                           017 "Maksimum"
23043                           016 "Kohandatud"
23050                           017 "Veerud"
23051                           014 "Tulbad"
23052                           015 "Read"
23053                           017 "Profiil"
23054                           014 "Sektordiagramm"
23055                           022 "XY (punktdiagramm)"
23056                           014 "Kihtdiagramm"
23057                           018 "Rõngasdiagramm"
23058                           015 "Radiaaldiagramm"
23059                           019 "Portfell"
23060                           015 "Börsidiagramm"
23061                           017 "Pinddiagramm"
23062                           018 "Silinderdiagramm"
23063                           014 "Koonusdiagramm"
23064                           017 "Püramiiddiagramm"
23065                           019 "Etapitähis"
23066                           015 "Tasemed"
23067                           019 "Histogramm"
23068                           020 "Tahhomeeter"
23069                           018 "Kvadrant"
23070                           024 "Mitmevärvilised tulbad"
23090                           014 "Andmed"
23091                           020 "Legendi võti"
24000                           018 "Koht"
24001                           015 "Väärtus"
24002                           017 "Protsent"
25100                           018 "3D-vaade"
25103                           021 "Vaatluskõrgus:"
25107                           023 "Perspektiiv:"
25111                           020 "Pööre:"
25113                           023 "Automaatsuurendus"
25114                           027 "Paremnurga teljed"
25115                           018 "Kõrgus:"
25118                           011 "%"
25119                           018 "Standard"
25200                           019 "Joondus"
25201                           024 "Teksti joondus"
25202                           022 "Horisontaalne:"
25204                           020 "Vertikaalne:"
25206                           020 "Koht:"
25208                           021 "Suund"
25300                           014 "Teljed"
25301                           022 "Primaartelg"
25302                           029 "Kategooriatelg (X)"
25303                           026 "Väärtusetelg (Y)"
25304                           027 "Sarjatelg (Z)"
25305                           024 "Sekundaartelg"
25306                           029 "Kategooriatelg (X)"
25307                           025 "Väärtusetelg (Y)"
25400                           019 "Joondus"
25401                           021 "Suund"
25500                           014 "Rida"
25501                           014 "Rida"
25502                           020 "Automaatne"
25503                           016 "Kohandatud"
25504                           017 "Laad:"
25506                           017 "Värv:"
25508                           030 "Põhikriipsmärgise tüüp"
25509                           015 "Pole"
25510                           016 "Sisemine"
25511                           017 "Välimine"
25512                           015 "Rist"
25513                           030 "Abikriipsmärgise tüüp"
25514                           015 "Pole"
25515                           016 "Sisemine"
25516                           017 "Välimine"
25517                           015 "Rist"
25518                           026 "Kriipsmärgise sildid"
25519                           015 "Pole"
25520                           013 "Madal"
25521                           014 "Kõrge"
25522                           022 "Telje kõrval"
25523                           016 "Näidis"
25600                           014 "Teljed"
25601                           024 "Andmesarja viide"
25602                           023 "Primaartelg"
25603                           025 "Sekundaartelg"
25700                           019 "Veatulp"
25701                           017 "Kuva"
25703                           022 "Veasumma"
25704                           023 "Konstant:"
25705                           021 "Protsent:"
25706                           029 "Standardhälve:"
25707                           024 "Standardviga:"
25708                           017 "Kohandatud:"
25711                           011 "%"
25713                           011 "+"
25715                           011 "-"
25800                           019 "Ruudujooned"
