_SAPPCTXT_HEADER_               002 8000 CHART TH 8600 OK 
22091                           014 "ไม่มี"
22092                           031 "ซูมแกนเวลา-สเกล (&T)"
22093                           030 "จัดรูปแบบพื้นที่พล็อต(&F)"
22094                           016 "รูปแบบ"
22095                           055 "ขนาดของเครื่องหมายต้องมากกว่า 0"
22096                           047 "หน่วยหลักต้องมากกว่า 0"
22097                           047 "หน่วยรองต้องมากกว่า 0"
22098                           024 "ค่าไม่ถูกต้อง"
22099                           029 "จัดรูปแบบพื้นที่บน(&F)..."
22100                           017 "ต่ำสุด"
22101                           017 "สูงสุด"
22102                           017 "ดีที่สุด"
22103                           018 "ตำแหน่ง"
22104                           034 "จัดรูปแบบชื่อช่วงค่า"
22105                           038 "จัดรูปแบบชื่อช่วงค่า(&F) ..."
22106                           027 "ป้ายแกนของเรดาร์ (&R)"
22107                           016 "แกน X"
22108                           016 "แกน Y"
22109                           016 "แกน Z"
22110                           014 "เส้นแบ่ง"
22111                           019 "พื้นที่พล็อต"
22112                           027 "ชื่อช่วงค่า"
22113                           021 "ช่วงค่า"
22114                           019 "แท่งลง"
22115                           017 "แท่งขึ้น"
22116                           024 "เส้นสูง-ต่ำ"
22117                           020 "แท่งข้อผิดพลาด"
22118                           022 "เล้นชุดข้อมูล"
22119                           020 "เส้นแนวโน้มลง"
22120                           017 "ชุด :"
22121                           019 "พื้นผิว (&T):"
22122                           017 "ป้าย:"
22123                           034 "เปลี่ยนส่วนแบ่งของวงกลม"
22124                           027 "เพิ่มเส้นแนวโน้ม (&T)..."
22125                           030 "จัดรูปแบบเส้นแนวโน้ม(&F) ..."
22126                           026 "จัดรูปแบบเส้นแนวโน้ม"
22127                           036 "จัดรูปแบบป้ายเส้นแนวโน้ม(&F) ..."
22128                           032 "จัดรูปแบบป้ายเส้นแนวโน้ม..."
22129                           020 "เส้นแนวโน้ม"
22130                           025 "ป้ายเส้นแนวโน้ม"
22131                           022 "มุมมอง 3 มิติ (&V) ..."
22132                           049 "การหมุนต้องอยู่ระหว่าง 0 ถึง 360 องศา"
22133                           048 "ความสูงต้องอยู่ระหว่าง -90 ถึง 90"
22134                           052 "รูปแบบการแสดงต้องอยู่ระหว่าง 0 ถึง 100"
22135                           024 "แกนแถว (Z) (&R):"
22136                           026 "แกนแสดงค่า (Y) (&V):"
22138                           022 "จัดรูปแบบพื้น"
22139                           026 "จัดรูปแบบพื้น(&F) ..."
22140                           022 "จัดรูปแบบผนัง"
22141                           026 "จัดรูปแบบผนัง(&F) ..."
22142                           015 "คัดลอก(&C)"
22143                           021 "ความลึกช่องว่าง(&G):"
22144                           025 "แหล่งข้อมูล (&D) ..."
22145                           025 "จัดรูปแบบพื้นที่บน"
22146                           030 "บันทึกเป็นแบบร่าง(&T) ..."
22147                           060 "ไฟล์แผนภูมิ (*.icc)|*.icc|ไฟล์ทั้งหมด (*.*) | *.* ||"
22148                           026 "บันทึกเป็นแบบร่าง"
22149                           089 "ขนาดของแกนเวลา-สเกลใหญ่เกินไป จะปรับโดยอัตโนมัติ"
22151                           027 "โหลดแบบร่าง(&L)..."
22152                           043 "แกนค่า (X) เกินค่าสูงสุด"
22153                           023 "โหลดแบบร่าง"
22154                           036 "แกนค่า (X) เกินค่าที่:"
22155                           043 "แกนค่า (Y) เกินค่าสูงสุด"
22156                           032 "แกนค่าเกินที่:"
22157                           116 "จำนวนช่วงที่ค่าเฉลี่ยเคลื่อนที่อย่างน้อยต้องเท่ากับ 2 และน้อยกว่าจำนวนจุดข้อมูล"
22158                           080 "ค่าของการพยากรณ์ไปข้างหน้าและย้อนกลับต้องมากกว่า 0"
22159                           021 "ป้ายเรดาร์"
