_SAPPCTXT_HEADER_               002 8000 CHART UK 1504 OK 
22193                           038 "Підпис стандартного розповсюдження:"
22194                           038 "Форматувати стандартне розповсюдження"
22195                           044 "Форматув.підпис стандартного розповсюдження"
22196                           048 "&Форматув.підпис стандартного розповсюдження..."
22197                           037 "&Форматувати лінію фактичного часу..."
22198                           033 "Форматувати лінію фактичного часу"
22199                           029 "&Додати діапазон значень..."
22200                           031 "&Форматувати негатив.області..."
22201                           027 "Форматувати негатив.області"
22202                           018 "Позитивні області"
22203                           020 "Негативні області"
22204                           015 "З:"
22205                           013 "До:"
22206                           022 "Стиль зображення:"
22207                           032 "&Форматувати сигнал.область..."
22208                           028 "Форматувати сигнал.область"
22209                           034 "&Форматув.заголовок вказівника..."
22210                           014 "Лінія"
22211                           026 "&Форматувати таблицю..."
22212                           022 "Форматувати таблицю"
22213                           020 "Шрифт заголовка"
22214                           023 "&Додати таблицю..."
22215                           024 "&Додати кнопку..."
22216                           027 "&Форматувати стовпчик..."
22217                           023 "Форматувати стовпчик"
22218                           031 "Стовпчик замалий!"
22219                           025 "&Форматувати комірку..."
22220                           021 "Форматувати комірку"
22221                           035 "&Форматув.заголовки вказівників..."
22222                           030 "Форматув.заголовки вказівників"
22223                           031 "Форматув.заголовки вказівників"
22224                           023 "Форматувати кнопку"
22225                           027 "&Форматувати кнопку..."
22226                           036 "&Показати значення меж бульбашок"
22228                           127 "Смугу часу створити неможливо, тому що інтервал завеликий. Якщо ви оберете Скасувати, максимальну дату буде зменшено."
22229                           016 "&Етапи"
22230                           014 "Більше"
22231                           031 "Стандартне розповсюдження"
22232                           019 "Підзаголовок"
22233                           012 "A"
22235                           020 "Шрифт заголовка"
22236                           019 "Шрифт комірки"
22237                           019 "Кругова діаграма"
22238                           036 "&Форматувати одиницю загол.осей..."
22239                           051 "Визначення формату номера недійсне!"
22240                           092 "Дозволено лише 10 діапазонів значень!\nЗайві діапазони значень будуть видалені."
22241                           025 "&Джерело даних..."
22242                           035 "Додати стандартне розповсюдження"
22400                           107 "Поточні настройки шкали часу призводять до багатьох одиниць. Це може сповільнити оновлення зображень."
22401                           054 " Ви впевнені, що всі настройки правильні?"
22410                           101 "Кількість видимих категорій не може перевищувати кількість існуючих категорій."
22411                           056 " Значення буде відповідно адаптоване."
