_SAPPCTXT_HEADER_               002 8000 CHART HE 1800 OK 
22420                           132 "תוספת הערך של הקטגוריות הגלויות והקטגוריות שיותחלו מ"
22421                           056 "הערך יותאם בהתאם."
22430                           132 "סוג התרשים לא יכול להשתנות לתרשים מלאי. תרשים מלאי דורש שלושה, ארבעה או חמישה"
22431                           046 "נסה אחד מהפתרונות הבאים:"
22432                           070 "בחירת 'OK' להקצאת תרשים מלאי לכל סדרות הנתונים -"
22433                           092 " תרשים מלאי יווצר בלבד אם יש מספיק סדרות נתונים בטבלה."
22434                           050 "בחירת 'Cancel' לסגירת הודעה זו"
22435                           132 " אחרי זה, בחר סוג תרשים שיכול להציג סדרות נתונים יחידות כגון סוג תרשים שורות."
22460                           065 "ותרשימים ב D-3 לא יכולים להיות משולבים אחד עם השני-2."
22461                           132 " האם לשנות את סדרות הנתונים של תרשים דו מימדי כך ששני התרשימים יהיו משולבים בתרשים תלת מימדי?"
22462                           094 "- לחץ 'כן' לשינוי סדרות הנתונים כך שהן יוכלו להשתלב בתרשים 3-D."
22464                           064 "לחץ 'לא' לביטול שילוב התרשימים."
22470                           065 "תרשימי D ו 2-D לא יהיו משולבים אחד עם השני-3."
22471                           132 "  האם לשנות את סדרות הנתונים של תרשים תלת מימדי כך ששני התרשימים יהיו משולבים בתרשים דו מימדי?"
22472                           091 "- לחץ 'כן' לשינוי סדרות הנתונים כך שהן יוכלו להשתלב בתרשים 2-D."
22474                           064 "לחץ 'לא' לביטול שילוב התרשימים."
22480                           060 " תרשים אינו ניתן לשילוב עם סוגי תרשים אחרים."
22481                           090 " לשנות את כל סדרות נתונים של תרשים זה אל סוג תרשים נבחר?"
22490                           132 "ליצור את תרשים מלאי זה, ארגון הנתונים בגיליון שלך בסדר זה: מחיר פתיחה, מחיר גבוהה"
22491                           050 " שימוש בתאריכים או שמות מלאי כתוויות."
22500                           132 "ליצור תרשים מלאי זה, ארגון הנתונים בגיליון שלך בסדר זה: נפח שנסחר, מחיר גבוה"
22501                           050 " שימוש בתאריכים או שמות מלאי כתוויות."
22510                           132 "ליצור תרשים מלאי, ארגון הנתונים בגיליון שלך בסדר זה: נפח שנסחר, פתיחה"
22511                           050 " שימוש בתאריכים או שמות מלאי כתוויות."
22550                           015 "לבן"
22551                           015 "שחור"
22552                           013 "אדום"
22553                           016 "צהוב"
22554                           015 "ירוק"
22555                           014 "כחול-ירוק"
22556                           014 "כחול"
22557                           017 "ארגמן"
22600                           013 "הכול"
22601                           016 "מותאם"
22602                           016 "מספר"
22603                           021 "הנהלת חשבונות"
22604                           014 "תאריך"
22605                           014 "שעה"
22606                           017 "אחוזים"
22607                           018 "חלק קטן"
22608                           017 "מדע"
22609                           014 "טקסט"
22610                           018 "מטבע"
23000                           013 "עליון"
23001                           016 "מרכז"
23002                           016 "תחתון"
23003                           016 "חלק"
23010                           014 "שמאל"
23011                           016 "מרכז"
23012                           015 "ימין"
23013                           016 "חלק"
23020                           015 "מעל"
23021                           015 "מתחת"
